Description	Name	Egg_1	Egg_2	Egg_3	2_1	2_2	2_3	4_1	4_2	4_3	6_1	6_2	6_3	8_1	8_2	8_3	24_1	24_2	24_3	Gene_stable_ID	Transcript_stable_ID	Protein_stable_ID	Transcript_name	Gene_Synonym	Gene_type	Gene_description
pep chromosome:GRCz11:1:26110985:26127944:1 gene:ENSDARG00000037261.9 transcript:ENSDART00000054208.8 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:mtap description:methylthioadenosine phosphorylase [Source:ZFIN;Acc:ZDB-GENE-040426-1505]	mtap	226183.793765416	164490.883165743	172416.259455061	194655.779391898	218542.398906558	200316.40149845	210954.748090464	255281.38508428	228102.928147739	2804533.5373202	569591.710343559	2088940.77457713	871995.628999716	5890572.57357043	6284315.11657394	199123.194798386	733195.797740849	246475.804151868	ENSDARG00000037261	ENSDART00000171989,ENSDART00000054208	,ENSDARP00000054207	mtap-202,mtap-201		protein_coding	methylthioadenosine_phosphorylase_[Source:ZFIN;Acc:ZDB-GENE-040426-1505]
Si:dkey-11p23.2 protein, partial [Danio rerio]	cmtm6	226183.793765416	164490.883165743	172416.259455061	194655.779391898	218542.398906558	200316.40149845	210954.748090464	255281.38508428	228102.928147739	2723296.67008205	4451978.21382517	14610671.3090031	790191.896038643	6679754.99120325	6080694.42491641	2569201.2090776	7060523.33513748	246475.804151868	ENSDARG00000099631	ENSDART00000169312,ENSDART00000188115	ENSDARP00000141413,ENSDARP00000146420	cmtm6-201,cmtm6-202		protein_coding	CKLF-like_MARVEL_transmembrane_domain_containing_6_[Source:ZFIN;Acc:ZDB-GENE-030729-15]
pep chromosome:GRCz11:24:9673232:9689930:-1 gene:ENSDARG00000063588.9 transcript:ENSDART00000093046.6 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:uba5 description:ubiquitin-like modifier activating enzyme 5 [Source:ZFIN;Acc:ZDB-GENE-031112-2]	NA	226183.793765416	164490.883165743	172416.259455061	194655.779391898	218542.398906558	200316.40149845	210954.748090464	255281.38508428	228102.928147739	2603841.81606838	249053.598694961	263460.740186661	1646030.2068454	222762.305921108	220863.176934779	199123.194798386	214419.032333706	4593695.9923918	NA	NA	NA	NA	NA	NA	NA
pep chromosome:GRCz11:2:56339058:56348727:-1 gene:ENSDARG00000041435.5 transcript:ENSDART00000060745.5 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:uba52 description:ubiquitin A-52 residue ribosomal protein fusion product 1 [Source:ZFIN;Acc:ZDB-GENE-051023-7]	uba52	226183.793765416	164490.883165743	172416.259455061	194655.779391898	218542.398906558	200316.40149845	210954.748090464	255281.38508428	228102.928147739	2503053.71952379	249053.598694961	263460.740186661	226279.625895691	222762.305921108	220863.176934779	199123.194798386	1357107.69437509	11930391.8544689	ENSDARG00000041435	ENSDART00000060745	ENSDARP00000060744	uba52-201		protein_coding	ubiquitin_A-52_residue_ribosomal_protein_fusion_product_1_[Source:ZFIN;Acc:ZDB-GENE-051023-7]
pep chromosome:GRCz11:20:26407758:26467454:-1 gene:ENSDARG00000055678.8 transcript:ENSDART00000158213.2 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:akap12b description:A kinase (PRKA) anchor protein 12b [Source:ZFIN;Acc:ZDB-GENE-030131-9753]	akap12b	226183.793765416	164490.883165743	172416.259455061	194655.779391898	218542.398906558	200316.40149845	210954.748090464	255281.38508428	228102.928147739	2304610.46695089	5103383.36658514	1313641.13694184	19831464.3948564	25321035.1128545	25940649.0903458	59431974.7750908	70183323.2841888	75142254.1207411	ENSDARG00000055678,ENSDARG00000110544	ENSDART00000110883,ENSDART00000078072,ENSDART00000183767,ENSDART00000158213,ENSDART00000182330,ENSDART00000193121	ENSDARP00000103304,ENSDARP00000072535,ENSDARP00000149072,ENSDARP00000131318,ENSDARP00000153177,ENSDARP00000151035	akap12b-202,akap12b-201,akap12b-205,akap12b-203,akap12b-204,akap12b-206		protein_coding	A_kinase_(PRKA)_anchor_protein_12b_[Source:ZFIN;Acc:ZDB-GENE-030131-9753]
cytosolic nonspecific dipeptidase [Danio rerio]	cndp2	226183.793765416	164490.883165743	172416.259455061	194655.779391898	218542.398906558	200316.40149845	210954.748090464	255281.38508428	228102.928147739	2043798.99346145	172189.63587974	1423908.18536331	1964269.58622725	4066684.87354963	1434103.31665452	1676894.39627858	1280300.53438339	1705894.98430343	ENSDARG00000003931	ENSDART00000143457,ENSDART00000038202	ENSDARP00000120032,ENSDARP00000033632	cndp2-202,cndp2-201		protein_coding	carnosine_dipeptidase_2_[Source:ZFIN;Acc:ZDB-GENE-030131-5499]
pep chromosome:GRCz11:6:16478099:16493516:-1 gene:ENSDARG00000013938.9 transcript:ENSDART00000022499.9 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:psmb3 description:proteasome subunit beta 3 [Source:ZFIN;Acc:ZDB-GENE-040426-2682]	psmb3	226183.793765416	164490.883165743	172416.259455061	194655.779391898	218542.398906558	200316.40149845	210954.748090464	255281.38508428	228102.928147739	1951654.5196309	1829135.87918759	126996.917676197	2001528.21951461	4755362.22490176	7735925.67244916	199123.194798386	214419.032333706	4211850.15927968	ENSDARG00000013938	ENSDART00000022499	ENSDARP00000013624	psmb3-201		protein_coding	proteasome_20S_subunit_beta_3_[Source:ZFIN;Acc:ZDB-GENE-040426-2682]
phosphoacetylglucosamine mutase isoform X1 [Danio rerio]	pgm3	226183.793765416	164490.883165743	172416.259455061	194655.779391898	218542.398906558	200316.40149845	210954.748090464	255281.38508428	228102.928147739	1826709.27880307	249053.598694961	1191069.47758438	999471.494578892	530474.574347955	1151956.7369203	199123.194798386	214419.032333706	420266.069718843	ENSDARG00000024654	ENSDART00000039987	ENSDARP00000039986	pgm3-201		protein_coding	phosphoglucomutase_3_[Source:ZFIN;Acc:ZDB-GENE-041024-13]
pep chromosome:GRCz11:13:33675556:33683889:-1 gene:ENSDARG00000007795.10 transcript:ENSDART00000136820.3 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:cst3 description:cystatin C (amyloid angiopathy and cerebral hemorrhage) [Source:ZFIN;Acc:ZDB-GENE-030131-373]	NA	226183.793765416	164490.883165743	172416.259455061	194655.779391898	218542.398906558	200316.40149845	210954.748090464	255281.38508428	228102.928147739	1690741.39296149	1340848.45965636	1792958.1518865	3354989.23725446	5435780.459003	4276489.92837348	17317287.1009899	12754905.7773962	28497456.9110517	NA	NA	NA	NA	NA	NA	NA
pep chromosome:GRCz11:16:23960744:23963461:1 gene:ENSDARG00000040295.6 transcript:ENSDART00000058965.6 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:apoeb description:apolipoprotein Eb [Source:ZFIN;Acc:ZDB-GENE-980526-368]	apoeb	226183.793765416	164490.883165743	172416.259455061	194655.779391898	218542.398906558	200316.40149845	210954.748090464	255281.38508428	228102.928147739	1680204.33625111	2353880.27487179	263460.740186661	20238006.8230674	9761660.69357707	6622037.27998609	54506811.1473852	91999653.1706222	134715603.307441	ENSDARG00000040295	ENSDART00000146077,ENSDART00000113722,ENSDART00000133484,ENSDART00000058965,ENSDART00000192754	ENSDARP00000119141,,ENSDARP00000058964,ENSDARP00000155792	apoeb-204,apoeb-202,apoeb-203,apoeb-201,apoeb-205		protein_coding	apolipoprotein_Eb_[Source:ZFIN;Acc:ZDB-GENE-980526-368]
AP-3 complex subunit sigma-1 [Danio rerio]	ap3s1	226183.793765416	164490.883165743	172416.259455061	194655.779391898	218542.398906558	200316.40149845	210954.748090464	255281.38508428	228102.928147739	1518029.47939625	249053.598694961	263460.740186661	319460.052557815	222762.305921108	220863.176934779	199123.194798386	2718381.93792367	5533659.35841504	NA	NA	NA	NA	NA	NA	NA
pep chromosome:GRCz11:15:39977461:40002930:1 gene:ENSDARG00000043451.5 transcript:ENSDART00000063786.3 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:cab39 description:calcium binding protein 39 [Source:ZFIN;Acc:ZDB-GENE-040625-158]	NA	226183.793765416	164490.883165743	172416.259455061	194655.779391898	218542.398906558	200316.40149845	210954.748090464	255281.38508428	228102.928147739	1437739.99538272	699228.122277074	263460.740186661	1752253.55360549	821870.825127846	770983.729479831	720474.150293525	519207.373502339	2391439.37990622	NA	NA	NA	NA	NA	NA	NA
phosphoribosyl pyrophosphate synthase-associated protein 1 [Danio rerio]	zgc:91845; prpsap1	226183.793765416	164490.883165743	172416.259455061	194655.779391898	218542.398906558	200316.40149845	210954.748090464	255281.38508428	228102.928147739	1349685.70109931	1805001.39301586	1138821.63038502	2804034.42874014	2927207.06233018	3187718.61427127	2481080.63484033	3894586.94096616	6338201.49575195	NA	NA	NA	NA	NA	NA	NA
pep chromosome:GRCz11:21:26720803:26725478:1 gene:ENSDARG00000037012.5 transcript:ENSDART00000053797.5 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:slc3a2b description:solute carrier family 3 (amino acid transporter heavy chain), member 2b [Source:ZFIN;Acc:ZDB-GENE-040122-2]	slc3a2b	226183.793765416	164490.883165743	172416.259455061	194655.779391898	218542.398906558	200316.40149845	210954.748090464	255281.38508428	228102.928147739	1181113.99151191	2280382.2657352	264140.586299806	6134376.6842151	16943175.7957386	6186671.91372721	2772509.33875885	6649558.79647148	2246104.86741559	ENSDARG00000037012	ENSDART00000053797	ENSDARP00000053796	slc3a2b-201		protein_coding	solute_carrier_family_3_member_2b_[Source:ZFIN;Acc:ZDB-GENE-040122-2]
pep chromosome:GRCz11:4:7653607:7673165:-1 gene:ENSDARG00000006029.7 transcript:ENSDART00000028171.7 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:lta4h description:leukotriene A4 hydrolase [Source:ZFIN;Acc:ZDB-GENE-040426-2477]	lta4h	226183.793765416	164490.883165743	172416.259455061	194655.779391898	218542.398906558	200316.40149845	210954.748090464	255281.38508428	228102.928147739	1126114.72791938	249053.598694961	1022219.04967676	379364.236593952	1510193.747437	2293620.44856319	619933.794553734	223243.040009698	1365151.87296124	ENSDARG00000006029,ENSDARG00000112240	ENSDART00000148973,ENSDART00000028171,ENSDART00000189388	,ENSDARP00000011882,ENSDARP00000148420	lta4h-202,lta4h-201,lta4h-203		protein_coding	leukotriene_A4_hydrolase_[Source:ZFIN;Acc:ZDB-GENE-040426-2477]
pep chromosome:GRCz10:12:17481654:17497533:1 gene:ENSDARG00000075672.4 transcript:ENSDART00000170449.1 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:pms2 description:PMS1 homolog 2, mismatch repair system component [Source:ZFIN;Acc:ZDB-GENE-030131-686]	NA	226183.793765416	164490.883165743	172416.259455061	194655.779391898	218542.398906558	200316.40149845	210954.748090464	255281.38508428	228102.928147739	855335.751160045	249053.598694961	263460.740186661	1465181.52263188	222762.305921108	357574.033394062	1116523.79680004	757089.155994828	840928.5194556	NA	NA	NA	NA	NA	NA	NA
integrin, beta 1b precursor [Danio rerio]	itgb1b	226183.793765416	164490.883165743	172416.259455061	194655.779391898	218542.398906558	200316.40149845	210954.748090464	255281.38508428	228102.928147739	732365.258800869	249053.598694961	263460.740186661	661025.528986039	299595.722432274	718983.651587212	7127747.12401394	4375171.80518889	11562562.6342799	ENSDARG00000104484	ENSDART00000161711	ENSDARP00000137182	itgb1b-201		protein_coding	integrin,_beta_1b_[Source:ZFIN;Acc:ZDB-GENE-030909-10]
pep chromosome:GRCz11:5:24510619:24517768:-1 gene:ENSDARG00000026476.6 transcript:ENSDART00000003957.7 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:tia1l description:cytotoxic granule-associated RNA binding protein 1, like [Source:ZFIN;Acc:ZDB-GENE-030131-2167]	tia1l	226183.793765416	164490.883165743	172416.259455061	194655.779391898	218542.398906558	200316.40149845	210954.748090464	255281.38508428	228102.928147739	717171.401641488	249053.598694961	263460.740186661	226279.625895691	222762.305921108	220863.176934779	21570813.388428	2220411.3681672	3358151.105323	ENSDARG00000026476,ENSDARG00000109827	ENSDART00000003957,ENSDART00000182777	ENSDARP00000018009,ENSDARP00000148664	tia1l-201,tia1l-202		protein_coding	cytotoxic_granule-associated_RNA_binding_protein_1,_like_[Source:ZFIN;Acc:ZDB-GENE-030131-2167]
pep chromosome:GRCz11:20:25625872:25639508:1 gene:ENSDARG00000004517.12 transcript:ENSDART00000078385.6 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:ppat description:phosphoribosyl pyrophosphate amidotransferase [Source:ZFIN;Acc:ZDB-GENE-041210-323]	ppat	226183.793765416	164490.883165743	172416.259455061	194655.779391898	218542.398906558	200316.40149845	210954.748090464	255281.38508428	228102.928147739	698587.200996675	249053.598694961	422087.813058218	414899.826355853	222762.305921108	1597541.38266196	707573.269276207	928084.775645939	978639.348911425	ENSDARG00000004517	ENSDART00000143883,ENSDART00000078385	ENSDARP00000113459,ENSDARP00000072847	ppat-202,ppat-201		protein_coding	phosphoribosyl_pyrophosphate_amidotransferase_[Source:ZFIN;Acc:ZDB-GENE-041210-323]
pep chromosome:GRCz11:18:1291434:1414760:-1 gene:ENSDARG00000102249.2 transcript:ENSDART00000171881.2 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:pepd description:peptidase D [Source:ZFIN;Acc:ZDB-GENE-030131-9444]	NA	226183.793765416	164490.883165743	172416.259455061	194655.779391898	218542.398906558	200316.40149845	210954.748090464	255281.38508428	228102.928147739	695827.930988782	475906.612873952	964368.512797394	643823.554347219	488347.975468447	940505.297047428	854563.486469107	895176.90510033	1573248.03447038	NA	NA	NA	NA	NA	NA	NA
pep chromosome:GRCz11:15:42264891:42283830:-1 gene:ENSDARG00000016864.6 transcript:ENSDART00000015979.6 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:farsb description:phenylalanyl-tRNA synthetase subunit beta [Source:ZFIN;Acc:ZDB-GENE-021206-2]	NA	226183.793765416	164490.883165743	172416.259455061	194655.779391898	218542.398906558	200316.40149845	210954.748090464	255281.38508428	228102.928147739	692461.712017422	136078.355970424	80695.5195374124	862793.081806601	529313.679959857	601590.325693923	133690.010704769	813734.428712488	1197056.82966212	NA	NA	NA	NA	NA	NA	NA
protein regulator of cytokinesis 1a isoform X1 [Danio rerio]	prc1a	226183.793765416	164490.883165743	172416.259455061	194655.779391898	218542.398906558	200316.40149845	210954.748090464	255281.38508428	228102.928147739	570667.371270711	1422972.26627564	263460.740186661	945114.720256432	3012837.04035271	2784571.36221543	199123.194798386	214419.032333706	246475.804151868	ENSDARG00000100918	ENSDART00000172567,ENSDART00000163017	ENSDARP00000139061,ENSDARP00000130445	prc1a-202,prc1a-201		protein_coding	protein_regulator_of_cytokinesis_1a_[Source:ZFIN;Acc:ZDB-GENE-020801-3]
pep chromosome:GRCz11:7:44715224:44716804:1 gene:ENSDARG00000068432.6 transcript:ENSDART00000184630.1 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:si:dkey-56m19.5 description:si:dkey-56m19.5 [Source:ZFIN;Acc:ZDB-GENE-030131-226]	NA	226183.793765416	164490.883165743	172416.259455061	194655.779391898	218542.398906558	200316.40149845	210954.748090464	255281.38508428	228102.928147739	521101.965252095	249053.598694961	263460.740186661	226279.625895691	222762.305921108	220863.176934779	35332256.2099555	20787353.3220447	46117774.5577061	NA	NA	NA	NA	NA	NA	NA
pep chromosome:GRCz11:12:42369566:42397002:-1 gene:ENSDARG00000098785.2 transcript:ENSDART00000160497.2 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:glrx3 description:glutaredoxin 3 [Source:ZFIN;Acc:ZDB-GENE-041010-22]	LOC567569	226183.793765416	164490.883165743	172416.259455061	194655.779391898	218542.398906558	200316.40149845	210954.748090464	255281.38508428	228102.928147739	502970.805412521	249053.598694961	847694.26467734	735099.34409902	2133887.80160541	2173446.15319576	1190903.82784065	214419.032333706	2911495.31191868	NA	NA	NA	NA	NA	NA	NA
pep chromosome:GRCz11:16:9762261:9777928:1 gene:ENSDARG00000023279.9 transcript:ENSDART00000020654.9 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:psmd4b description:proteasome 26S subunit, non-ATPase 4b [Source:ZFIN;Acc:ZDB-GENE-050417-96]	psmd4b	226183.793765416	164490.883165743	172416.259455061	194655.779391898	218542.398906558	200316.40149845	210954.748090464	255281.38508428	228102.928147739	464180.443105998	249053.598694961	263460.740186661	900160.32257187	873101.299754926	1971428.26025725	1367743.70035946	214419.032333706	1279178.63214762	ENSDARG00000023279	ENSDART00000020654	ENSDARP00000003398	psmd4b-201		protein_coding	proteasome_26S_subunit_ubiquitin_receptor,_non-ATPase_4b_[Source:ZFIN;Acc:ZDB-GENE-050417-96]
pep chromosome:GRCz11:19:22759116:22843480:-1 gene:ENSDARG00000036158.5 transcript:ENSDART00000052503.5 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:nudcd1 description:NudC domain containing 1 [Source:ZFIN;Acc:ZDB-GENE-050522-483]	nudcd1	226183.793765416	164490.883165743	172416.259455061	194655.779391898	218542.398906558	200316.40149845	210954.748090464	255281.38508428	228102.928147739	458863.576941897	249053.598694961	393420.45935861	1603195.41228335	1437865.97427369	219634.395549796	199123.194798386	214419.032333706	1568512.13282928	ENSDARG00000036158	ENSDART00000052503	ENSDARP00000052502	nudcd1-201		protein_coding	NudC_domain_containing_1_[Source:ZFIN;Acc:ZDB-GENE-050522-483]
pep chromosome:GRCz10:10:7850319:7862987:-1 gene:ENSDARG00000040334.7 transcript:ENSDART00000160606.1 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:mat2aa description:methionine adenosyltransferase II, alpha a [Source:ZFIN;Acc:ZDB-GENE-030131-2049]	NA	226183.793765416	164490.883165743	172416.259455061	194655.779391898	218542.398906558	200316.40149845	210954.748090464	255281.38508428	228102.928147739	379783.752617566	249053.598694961	263460.740186661	1922818.81539464	1065654.55243975	220863.176934779	4982365.4413497	6414353.61105548	1542903.73331314	NA	NA	NA	NA	NA	NA	NA
pep chromosome:GRCz11:16:46725087:46741779:1 gene:ENSDARG00000014340.8 transcript:ENSDART00000008920.8 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:rab11al description:RAB11a, member RAS oncogene family, like [Source:ZFIN;Acc:ZDB-GENE-031118-188]	NA	226183.793765416	164490.883165743	172416.259455061	194655.779391898	218542.398906558	200316.40149845	210954.748090464	255281.38508428	228102.928147739	371055.25339822	249053.598694961	263460.740186661	226279.625895691	222762.305921108	308511.742537254	4068212.54165411	214419.032333706	246475.804151868	NA	NA	NA	NA	NA	NA	NA
pep chromosome:GRCz11:23:38159715:38182757:1 gene:ENSDARG00000026296.9 transcript:ENSDART00000137969.3 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:zgc:112994 description:zgc:112994 [Source:ZFIN;Acc:ZDB-GENE-050522-519]	zgc:112994	226183.793765416	164490.883165743	172416.259455061	194655.779391898	218542.398906558	200316.40149845	210954.748090464	255281.38508428	228102.928147739	370752.633881395	249053.598694961	263460.740186661	6804210.52333905	8216663.72093471	2137527.31905488	11606256.4164735	17404006.8546715	16807740.8050542	ENSDARG00000026296	ENSDART00000137969,ENSDART00000148188	ENSDARP00000120817,ENSDARP00000116087	zgc:112994-201,zgc:112994-202		protein_coding	zgc:112994_[Source:ZFIN;Acc:ZDB-GENE-050522-519]
pep chromosome:GRCz10:6:37690647:37752532:1 gene:ENSDARG00000044345.9 transcript:ENSDART00000104233.4 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:cyfip1 description:cytoplasmic FMR1 interacting protein 1 [Source:ZFIN;Acc:ZDB-GENE-030131-8557]	NA	226183.793765416	164490.883165743	172416.259455061	194655.779391898	218542.398906558	200316.40149845	210954.748090464	255281.38508428	228102.928147739	365807.176455971	215479.866875799	95663.5099619337	459461.36375406	491691.839065212	376926.119008061	425350.572829475	1250077.21395316	1339707.08748482	NA	NA	NA	NA	NA	NA	NA
pep chromosome:GRCz11:16:14002944:14005010:1 gene:ENSDARG00000095688.2 transcript:ENSDART00000059926.4 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:zgc:162509 description:zgc:162509 [Source:ZFIN;Acc:ZDB-GENE-050809-100]	NA	226183.793765416	164490.883165743	172416.259455061	194655.779391898	218542.398906558	200316.40149845	210954.748090464	255281.38508428	228102.928147739	363581.974269446	167381.46439567	263460.740186661	208586.068582576	222762.305921108	220863.176934779	184401.568104014	214419.032333706	811475.564386516	NA	NA	NA	NA	NA	NA	NA
pep chromosome:GRCz11:9:28870357:28939796:-1 gene:ENSDARG00000032324.9 transcript:ENSDART00000101269.5 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:epb41l5 description:erythrocyte membrane protein band 4.1 like 5 [Source:ZFIN;Acc:ZDB-GENE-030616-450]	NA	226183.793765416	164490.883165743	172416.259455061	194655.779391898	218542.398906558	200316.40149845	210954.748090464	255281.38508428	228102.928147739	362416.298539792	991371.133287464	1020537.62331916	872299.391422957	855931.867418026	889571.075580808	380274.445697045	590855.869611292	246475.804151868	NA	NA	NA	NA	NA	NA	NA
pep chromosome:GRCz10:20:48607669:48631629:-1 gene:ENSDARG00000057151.6 transcript:ENSDART00000164962.1 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:prep description:prolyl endopeptidase [Source:ZFIN;Acc:ZDB-GENE-050522-14]	NA	226183.793765416	164490.883165743	172416.259455061	194655.779391898	218542.398906558	200316.40149845	210954.748090464	255281.38508428	228102.928147739	333469.348157416	226280.027567261	1124846.38270021	1282086.73307305	281791.996923562	567178.304579705	199123.194798386	629535.841404557	443056.687085129	NA	NA	NA	NA	NA	NA	NA
pep chromosome:GRCz11:10:16225117:16310179:1 gene:ENSDARG00000104573.3 transcript:ENSDART00000169885.3 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:slc12a2 description:solute carrier family 12 (sodium/potassium/chloride transporter), member 2 [Source:ZFIN;Acc:ZDB-GENE-040625-53]	NA	226183.793765416	164490.883165743	172416.259455061	194655.779391898	218542.398906558	200316.40149845	210954.748090464	255281.38508428	228102.928147739	330652.096937935	768039.085284808	52118.9193963846	332375.609200618	606305.435259485	149724.424263825	1694359.29116932	385550.56982305	1248056.0900424	NA	NA	NA	NA	NA	NA	NA
pep chromosome:GRCz11:25:17589906:17613025:1 gene:ENSDARG00000014303.9 transcript:ENSDART00000167750.2 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:vac14 description:vac14 homolog (S. cerevisiae) [Source:ZFIN;Acc:ZDB-GENE-040912-82]	vac14	226183.793765416	164490.883165743	172416.259455061	194655.779391898	218542.398906558	200316.40149845	210954.748090464	255281.38508428	228102.928147739	302582.250587123	57366.4521215646	263460.740186661	226279.625895691	222762.305921108	220863.176934779	362568.166135882	757660.158793194	471708.892060185	ENSDARG00000014303	ENSDART00000009767,ENSDART00000138038,ENSDART00000167750	ENSDARP00000003288,,ENSDARP00000138390	vac14-201,vac14-202,vac14-203		protein_coding	vac14_homolog_(S._cerevisiae)_[Source:ZFIN;Acc:ZDB-GENE-040912-82]
pep chromosome:GRCz11:7:6416636:6417339:-1 gene:ENSDARG00000105502.2 transcript:ENSDART00000172795.2 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:si:ch73-368j24.12 description:si:ch73-368j24.12 [Source:ZFIN;Acc:ZDB-GENE-160113-38]	LOC100537402; si:ch73-368j24.12	226183.793765416	164490.883165743	172416.259455061	194655.779391898	218542.398906558	200316.40149845	210954.748090464	255281.38508428	228102.928147739	287118.545381878	7621398.54789367	263460.740186661	1412835.79671133	5522530.49926296	220863.176934779	199123.194798386	214419.032333706	246475.804151868	NA	NA	NA	NA	NA	NA	NA
pep chromosome:GRCz11:21:17024002:17029464:1 gene:ENSDARG00000057882.6 transcript:ENSDART00000080628.6 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:arpc3 description:actin related protein 2/3 complex, subunit 3 [Source:ZFIN;Acc:ZDB-GENE-040625-107]	arpc3	226183.793765416	164490.883165743	172416.259455061	194655.779391898	218542.398906558	200316.40149845	210954.748090464	255281.38508428	228102.928147739	287118.545381878	7474964.69068839	2459874.54961831	1761915.46249289	1974388.05205421	2105424.67614773	16305120.7425022	10994523.7136176	246475.804151868	ENSDARG00000057882	ENSDART00000080628	ENSDARP00000075074	arpc3-201		protein_coding	actin_related_protein_2/3_complex,_subunit_3_[Source:ZFIN;Acc:ZDB-GENE-040625-107]
pep chromosome:GRCz11:5:37948283:37959874:-1 gene:ENSDARG00000027345.12 transcript:ENSDART00000031719.9 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:mpzl2b description:myelin protein zero-like 2b [Source:ZFIN;Acc:ZDB-GENE-030131-8774]	mpzl2b	226183.793765416	164490.883165743	172416.259455061	194655.779391898	218542.398906558	200316.40149845	210954.748090464	255281.38508428	228102.928147739	287118.545381878	2413179.74058904	263460.740186661	226279.625895691	1808421.65106463	3084530.11219666	199123.194798386	214419.032333706	246475.804151868	ENSDARG00000027345,ENSDARG00000113465	ENSDART00000031719,ENSDART00000140992,ENSDART00000141059,ENSDART00000175170	ENSDARP00000032601,,ENSDARP00000144000	mpzl2b-201,mpzl2b-202,mpzl2b-203,mpzl2b-204		protein_coding	myelin_protein_zero-like_2b_[Source:ZFIN;Acc:ZDB-GENE-030131-8774]
pep chromosome:GRCz11:8:26329482:26369115:1 gene:ENSDARG00000033184.9 transcript:ENSDART00000048676.9 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:prkar2aa description:protein kinase, cAMP-dependent, regulatory, type II, alpha A [Source:ZFIN;Acc:ZDB-GENE-030131-1007]	prkar2aa	226183.793765416	164490.883165743	172416.259455061	194655.779391898	218542.398906558	200316.40149845	210954.748090464	255281.38508428	228102.928147739	287118.545381878	2377875.50399681	1069393.54538056	226279.625895691	9085834.67016969	2643367.26344307	199123.194798386	1187816.2308838	1753008.83248628	ENSDARG00000033184	ENSDART00000048676	ENSDARP00000048675	prkar2aa-201		protein_coding	protein_kinase,_cAMP-dependent,_regulatory,_type_II,_alpha_A_[Source:ZFIN;Acc:ZDB-GENE-030131-1007]
globin X [Danio rerio]	xgb	226183.793765416	164490.883165743	172416.259455061	194655.779391898	218542.398906558	200316.40149845	210954.748090464	255281.38508428	228102.928147739	287118.545381878	1722646.84814995	263460.740186661	226279.625895691	222762.305921108	220863.176934779	199123.194798386	214419.032333706	246475.804151868	ENSDARG00000032896	ENSDART00000156489	ENSDARP00000128514	xgb-201		protein_coding	x_globin_[Source:ZFIN;Acc:ZDB-GENE-050125-1]
pep chromosome:GRCz11:15:43604032:43625549:-1 gene:ENSDARG00000101334.3 transcript:ENSDART00000168589.2 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:ctsc description:cathepsin C [Source:ZFIN;Acc:ZDB-GENE-030619-9]	NA	226183.793765416	164490.883165743	172416.259455061	194655.779391898	218542.398906558	200316.40149845	210954.748090464	255281.38508428	228102.928147739	287118.545381878	1692733.38368846	263460.740186661	7918322.3245742	3352459.74236497	2605360.1821544	24665549.4939587	52968742.316935	25163915.0674788	NA	NA	NA	NA	NA	NA	NA
Sdc4 protein, partial [Danio rerio]	sdc4	226183.793765416	164490.883165743	172416.259455061	194655.779391898	218542.398906558	200316.40149845	210954.748090464	255281.38508428	228102.928147739	287118.545381878	1640435.54250764	521339.175144878	958601.85349384	3084009.73312805	1918440.38851075	199123.194798386	1470905.00294966	246475.804151868	ENSDARG00000059906	ENSDART00000083830	ENSDARP00000078265	sdc4-201		protein_coding	syndecan_4_[Source:ZFIN;Acc:ZDB-GENE-061111-1]
